# Table S4. Top-100 co-expression partners of Rv2516c in each of the two expression compendia used for the genome-wide, unbiased co-expression scan (3,911 genes each), ranked by Spearman correlation within each compendium. The top-50 subset used for the hypergeometric enrichment test against the four curated regulons (DosR, SigH, SigF, and the union of Rv2516c's five known upstream regulators) is flagged in the top50 column.
compendium	rank	partner_locus	product	spearman_r	p_value	q_BH	top50
GSE166501	57	Rv0340	hypothetical protein	0.6801	9.513e-05	3.576e-04	no
GSE166501	58	Rv2723	integral membrane protein	0.6789	9.903e-05	3.705e-04	no
GSE166501	59	Rv0990c	hypothetical protein	0.6777	1.031e-04	3.810e-04	no
GSE166501	60	Rv3286c	RNA polymerase sigma factor SigF	0.6777	1.031e-04	3.810e-04	no
GSE166501	61	Rv0968	hypothetical protein	0.6740	1.160e-04	4.179e-04	no
GSE166501	62	Rv1945	hypothetical protein	0.6728	1.207e-04	4.307e-04	no
GSE166501	63	Rv3048c	ribonucleoside-diphosphate reductase subunit beta NrdF2	0.6722	1.230e-04	4.365e-04	no
GSE166501	64	Rv2142A	antitoxin ParD2	0.6722	1.230e-04	4.365e-04	no
GSE166501	65	Rv3223c	ECF RNA polymerase sigma factor SigH	0.6716	1.255e-04	4.435e-04	no
GSE166501	66	Rv1964	integral membrane protein	0.6685	1.382e-04	4.793e-04	no
GSE166501	67	Rv2722	hypothetical protein	0.6673	1.436e-04	4.926e-04	no
GSE166501	68	Rv3527	hypothetical protein	0.6673	1.436e-04	4.926e-04	no
GSE166501	69	Rv2717c	hypothetical protein	0.6673	1.436e-04	4.926e-04	no
GSE166501	70	Rv1947	hypothetical protein	0.6661	1.492e-04	5.070e-04	no
GSE166501	71	Rv2639c	integral membrane protein	0.6624	1.672e-04	5.540e-04	no
GSE166501	72	Rv2792c	resolvase	0.6606	1.768e-04	5.780e-04	no
GSE166501	73	Rv0621	membrane protein	0.6600	1.802e-04	5.865e-04	no
GSE166501	74	Rv1956	antitoxin HigA	0.6600	1.802e-04	5.865e-04	no
GSE166501	75	Rv2707	hypothetical protein	0.6587	1.870e-04	6.033e-04	no
GSE166501	76	Rv3076	hypothetical protein	0.6587	1.870e-04	6.033e-04	no
GSE166501	77	Rv2231A	ribonuclease VapC16	0.6575	1.940e-04	6.226e-04	no
GSE166501	78	Rv1765c	hypothetical protein	0.6575	1.940e-04	6.226e-04	no
GSE166501	79	Rv1374c	hypothetical protein	0.6545	2.127e-04	6.707e-04	no
GSE166501	80	Rv1957	SecB-like chaperone	0.6526	2.247e-04	7.024e-04	no
GSE166501	81	Rv2231B	antitoxin VapB16	0.6520	2.288e-04	7.125e-04	no
GSE166501	82	Rv3054c	hypothetical protein	0.6520	2.288e-04	7.125e-04	no
GSE166501	83	Rv2979c	resolvase	0.6520	2.288e-04	7.125e-04	no
GSE166501	84	Rv2466c	hypothetical protein	0.6514	2.329e-04	7.238e-04	no
GSE166501	85	Rv3642c	hypothetical protein	0.6471	2.641e-04	7.984e-04	no
GSE166501	86	Rv1471	thioredoxin	0.6410	3.150e-04	9.204e-04	no
GSE166501	87	Rv3641c	cell filamentation protein Fic	0.6410	3.150e-04	9.204e-04	no
GSE166501	88	Rv0623	antitoxin VapB30	0.6404	3.205e-04	9.319e-04	no
GSE166501	89	Rv3463	hypothetical protein	0.6398	3.261e-04	9.427e-04	no
GSE166501	90	Rv3221A	anti-sigma factor RshA	0.6398	3.261e-04	9.427e-04	no
GSE166501	91	Rv0887c	hypothetical protein	0.6380	3.435e-04	9.831e-04	no
GSE166501	92	Rv3640c	transposase	0.6355	3.679e-04	1.040e-03	no
GSE166501	93	Rv3225c	GCN5-like N-acetyltransferase	0.6343	3.806e-04	1.068e-03	no
GSE166501	94	Rv2694c	hypothetical protein	0.6331	3.938e-04	1.101e-03	no
